INDICEREP,,,,,INDICEREP → &epsilon,,,,,,,,,INDICEREP → &epsilon,INDICEREP → &epsilon,,,,,,,,,,,,,,,,,,,INDICEREP → &epsilon,INDICEREP → &epsilon,INDICEREP → &epsilon,,INDICEREP → lsqbr ARITHEXPR rsqbr INDICEREP,,,,,,,INDICEREP → &epsilon,,,
MEMBERDECL,,,,,,,,MEMBERDECL → VARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERDECL → FUNCDECL,,,,,,,
MULTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MULTOP → and,MULTOP → div,MULTOP → mult,,,,,,,,,,,,
OPTSTRUCTDECL2,,,,,,,,,,,,OPTSTRUCTDECL2 → &epsilon,,,,,,,,,,,,,,,,,,,,,OPTSTRUCTDECL2 → inherits id REPTOPTSTRUCTDECL22,,,,,,,,,,,,,,,
PROG,PROG → REPTPROG0,,,,,,,,,,,,PROG → REPTPROG0,,,,,,,,,,,,,,,,,,,,,,,,,,PROG → REPTPROG0,,PROG → REPTPROG0,,,,,,,
RELEXPR,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR,,,,,,,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR,,,,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR,RELEXPR → ARITHEXPR RELOP ARITHEXPR,,,,,,,,,,,,,,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR,RELEXPR → ARITHEXPR RELOP ARITHEXPR,RELEXPR → ARITHEXPR RELOP ARITHEXPR,,,,
RELOP,,,,,,,,,,,,,,,,,,,,,,,,,,,RELOP → geq,RELOP → leq,RELOP → gt,RELOP → lt,RELOP → neq,RELOP → eq,,,,,,,,,,,,,,,,
REPTAPARAMS1,,,,,,,,,,,,,,REPTAPARAMS1 → &epsilon,,,,,,,,,,,,REPTAPARAMS1 → APARAMSTAIL REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,
REPTFPARAMS3,,,,,,,,,,,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,REPTFPARAMS3 → ARRAYSIZE REPTFPARAMS3,,,,,,,,,,
REPTFPARAMS4,,,,,,,,,,,,,,REPTFPARAMS4 → &epsilon,,,,,,,,,,,,REPTFPARAMS4 → FPARAMSTAIL REPTFPARAMS4,,,,,,,,,,,,,,,,,,,,,,
REPTFPARAMSTAIL4,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,REPTFPARAMSTAIL4 → ARRAYSIZE REPTFPARAMSTAIL4,,,,,,,,,,
REPTFUNCBODY1,,,,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,,,,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,,,REPTFUNCBODY1 → &epsilon,,,,,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,,,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTIMPLDEF3,,,,,,,,,,,REPTIMPLDEF3 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTIMPLDEF3 → FUNCDEF REPTIMPLDEF3,,,,,,,
REPTOPTSTRUCTDECL22,,,,,,,,,,,,REPTOPTSTRUCTDECL22 → &epsilon,,,,,,,,,,,,,,REPTOPTSTRUCTDECL22 → comma id REPTOPTSTRUCTDECL22,,,,,,,,,,,,,,,,,,,,,,
REPTPROG0,REPTPROG0 → &epsilon,,,,,,,,,,,,REPTPROG0 → STRUCTORIMPLORFUNC REPTPROG0,,,,,,,,,,,,,,,,,,,,,,,,,,REPTPROG0 → STRUCTORIMPLORFUNC REPTPROG0,,REPTPROG0 → STRUCTORIMPLORFUNC REPTPROG0,,,,,,,
REPTSTATBLOCK1,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,,,,,REPTSTATBLOCK1 → &epsilon,,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTSTRUCTDECL4,,REPTSTRUCTDECL4 → VISIBILITY MEMBERDECL REPTSTRUCTDECL4,REPTSTRUCTDECL4 → VISIBILITY MEMBERDECL REPTSTRUCTDECL4,,,,,,,,REPTSTRUCTDECL4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARDECL4,,,,,,REPTVARDECL4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTVARDECL4 → ARRAYSIZE REPTVARDECL4,,,,,,,,,,
RETURNTYPE,,,,RETURNTYPE → TYPE,,,,,RETURNTYPE → TYPE,RETURNTYPE → TYPE,,,,,,,,,,,,,,,RETURNTYPE → void,,,,,,,,,,,,,,,,,,,,,,,
SIGN,,,,,,,,,,,,,,,,,,,,,,,SIGN → minus,SIGN → plus,,,,,,,,,,,,,,,,,,,,,,,,
STATBLOCK,,,,STATBLOCK → STATEMENT,,STATBLOCK → &epsilon,,,,,,STATBLOCK → lcurbr REPTSTATBLOCK1 rcurbr,,,,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → &epsilon,,STATBLOCK → STATEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,,,STATEMENT → VARIABLE STATEMENTFAC semi,,,,,,,,,,,,STATEMENT → return lpar EXPR rpar semi,STATEMENT → write lpar EXPR rpar semi,STATEMENT → read lpar VARIABLE rpar semi,STATEMENT → while lpar RELEXPR rpar STATBLOCK semi,,,STATEMENT → if lpar RELEXPR rpar then STATBLOCK else STATBLOCK semi,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENTFAC,,,,,,,,,,,,,,,STATEMENTFAC → lpar APARAMS rpar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENTFAC → ASSIGNOP EXPR,,,
STRUCTDECL,,,,,,,,,,,,,STRUCTDECL → struct id OPTSTRUCTDECL2 lcurbr REPTSTRUCTDECL4 rcurbr semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRUCTORIMPLORFUNC,,,,,,,,,,,,,STRUCTORIMPLORFUNC → STRUCTDECL,,,,,,,,,,,,,,,,,,,,,,,,,,STRUCTORIMPLORFUNC → IMPLDEF,,STRUCTORIMPLORFUNC → FUNCDEF,,,,,,,
TERM,,,,TERM → FACTOR TERMLEFT,,,,,,,,,,,TERM → FACTOR TERMLEFT,,,,,,,,TERM → FACTOR TERMLEFT,TERM → FACTOR TERMLEFT,,,,,,,,,,,,,,,,,,TERM → FACTOR TERMLEFT,TERM → FACTOR TERMLEFT,TERM → FACTOR TERMLEFT,,,,
TERMLEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TERMLEFT → MULTOP FACTOR,TERMLEFT → MULTOP FACTOR,TERMLEFT → MULTOP FACTOR,,,,,,,,,,,,
TYPE,,,,TYPE → id,,,,,TYPE → float,TYPE → integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARDECL,,,,,,,,VARDECL → let id colon TYPE REPTVARDECL4 semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARDECLORSTAT,,,,VARDECLORSTAT → STATEMENT,,,,VARDECLORSTAT → VARDECL,,,,,,,,VARDECLORSTAT → STATEMENT,VARDECLORSTAT → STATEMENT,VARDECLORSTAT → STATEMENT,VARDECLORSTAT → STATEMENT,,,VARDECLORSTAT → STATEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,,,,VARIABLE → id VARIABLEIDNEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLEIDNEST,,,,,VARIABLEIDNEST → INDICEREP VARIABLEIDNESTTAIL,,,,,,,,,VARIABLEIDNEST → INDICEREP VARIABLEIDNESTTAIL,VARIABLEIDNEST → INDICEREP VARIABLEIDNESTTAIL,,,,,,,,,,,,,,,,,,,VARIABLEIDNEST → INDICEREP VARIABLEIDNESTTAIL,VARIABLEIDNEST → INDICEREP VARIABLEIDNESTTAIL,VARIABLEIDNEST → INDICEREP VARIABLEIDNESTTAIL,,VARIABLEIDNEST → INDICEREP VARIABLEIDNESTTAIL,,,,,,,VARIABLEIDNEST → INDICEREP VARIABLEIDNESTTAIL,,,
VARIABLEIDNESTTAIL,,,,,VARIABLEIDNESTTAIL → dot id VARIABLEIDNEST,,,,,,,,,VARIABLEIDNESTTAIL → &epsilon,VARIABLEIDNESTTAIL → &epsilon,,,,,,,,,,,,,,,,,,,VARIABLEIDNESTTAIL → &epsilon,VARIABLEIDNESTTAIL → &epsilon,VARIABLEIDNESTTAIL → &epsilon,,,,,,,,,VARIABLEIDNESTTAIL → &epsilon,,,
VISIBILITY,,VISIBILITY → private,VISIBILITY → public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
